epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2708.14,0.84911,0.74807,1.1279,0.54306,0.47925,0.4521,0.30343,1.5279,1.92498,1.72285,0.000627331,0.000627331,0.000627331
87,2740.17,0.8618,0.78022,1.16185,0.68041,0.43394,0.48007,0.32009,1.5473,1.84213,1.75777,0.0006179,0.0006179,0.0006179
88,2769.31,0.86288,0.75451,1.1485,0.52413,0.48953,0.46292,0.3022,1.51976,1.86802,1.74801,0.000608468,0.000608468,0.000608468
89,2800.77,0.84622,0.73134,1.14123,0.62524,0.42517,0.44973,0.32009,1.5271,2.00414,1.7466,0.000599037,0.000599037,0.000599037
90,2832.28,0.8078,0.70765,1.11491,0.50646,0.50053,0.45866,0.30157,1.56056,1.92015,1.78079,0.000589605,0.000589605,0.000589605
91,2864.18,0.82348,0.70348,1.11024,0.69039,0.40377,0.43679,0.29948,1.46436,1.97726,1.6517,0.000580174,0.000580174,0.000580174
92,2895.39,0.82399,0.70764,1.12373,0.66557,0.3858,0.43972,0.30223,1.46707,1.88713,1.67616,0.000570743,0.000570743,0.000570743
93,2927.41,0.80619,0.68185,1.10359,0.53536,0.42276,0.44655,0.29848,1.57108,1.92834,1.79488,0.000561311,0.000561311,0.000561311
94,2958.49,0.79983,0.68489,1.11257,0.60651,0.43682,0.46139,0.29792,1.51595,1.88731,1.73548,0.00055188,0.00055188,0.00055188
95,2988.22,0.76807,0.66112,1.08349,0.49896,0.48438,0.47094,0.3187,1.5331,1.90741,1.79681,0.000542448,0.000542448,0.000542448
96,3020.01,0.78754,0.66968,1.09635,0.62999,0.42217,0.45813,0.31121,1.5211,1.93455,1.75412,0.000533017,0.000533017,0.000533017
97,3051.82,0.81128,0.6838,1.11737,0.54204,0.43553,0.45765,0.31874,1.46519,1.94389,1.68197,0.000523586,0.000523586,0.000523586
98,3083.64,0.7933,0.68884,1.10523,0.50623,0.37537,0.40718,0.27113,1.58931,2.23811,1.80433,0.000514154,0.000514154,0.000514154
99,3113.28,0.7739,0.64727,1.09302,0.50803,0.42482,0.42213,0.27194,1.51832,2.11861,1.72762,0.000504723,0.000504723,0.000504723
100,3144.52,0.77643,0.65743,1.09738,0.66768,0.42891,0.4727,0.3267,1.44897,1.87804,1.72827,0.000495291,0.000495291,0.000495291
101,3179.09,0.77097,0.64529,1.09568,0.52779,0.43294,0.44234,0.3051,1.5499,2.13459,1.78908,0.00048586,0.00048586,0.00048586
102,3209.84,0.76478,0.63993,1.08555,0.64074,0.42688,0.45844,0.31436,1.57306,2.04358,1.8132,0.000476429,0.000476429,0.000476429
103,3240.27,0.75304,0.63737,1.09195,0.72665,0.40467,0.46015,0.32329,1.50515,1.98568,1.72793,0.000466997,0.000466997,0.000466997
104,3271.99,0.74836,0.62918,1.08657,0.65888,0.3949,0.43095,0.30905,1.48881,1.95598,1.72721,0.000457566,0.000457566,0.000457566
105,3303.93,0.76032,0.65183,1.10998,0.63601,0.43404,0.43543,0.30323,1.5224,2.07683,1.77473,0.000448134,0.000448134,0.000448134
106,3334.7,0.73978,0.6151,1.08276,0.53986,0.45883,0.43461,0.30136,1.58423,2.16538,1.79488,0.000438703,0.000438703,0.000438703
107,3364.34,0.73301,0.59883,1.06379,0.47772,0.5051,0.44365,0.30762,1.6061,2.16654,1.81032,0.000429272,0.000429272,0.000429272
108,3395.68,0.72653,0.61333,1.06729,0.51667,0.50384,0.46339,0.31384,1.50905,2.00133,1.71042,0.00041984,0.00041984,0.00041984
109,3427.54,0.72474,0.58561,1.06192,0.50096,0.48373,0.47552,0.3197,1.53756,1.98575,1.81055,0.000410409,0.000410409,0.000410409
110,3458.36,0.72547,0.59229,1.06921,0.60324,0.4658,0.48728,0.33431,1.46992,1.96552,1.72233,0.000400977,0.000400977,0.000400977
111,3490.64,0.73479,0.58701,1.07996,0.68181,0.4481,0.49503,0.34823,1.43567,1.8111,1.68944,0.000391546,0.000391546,0.000391546
112,3522.86,0.7093,0.59,1.06666,0.60492,0.46866,0.47587,0.33284,1.50529,2.03084,1.76357,0.000382115,0.000382115,0.000382115
113,3555.21,0.70263,0.58931,1.04664,0.58482,0.48919,0.47571,0.32755,1.49626,1.74888,1.76791,0.000372683,0.000372683,0.000372683
114,3584.45,0.71779,0.60216,1.06882,0.62331,0.45523,0.44457,0.31373,1.44925,1.80478,1.71882,0.000363252,0.000363252,0.000363252
115,3615.45,0.69416,0.57727,1.05901,0.68219,0.43567,0.47056,0.32306,1.43664,1.7549,1.6569,0.00035382,0.00035382,0.00035382
116,3647.12,0.71494,0.59191,1.06002,0.65532,0.45715,0.50476,0.34754,1.48509,1.71983,1.72488,0.000344389,0.000344389,0.000344389
117,3678.74,0.6867,0.56786,1.0434,0.62825,0.45879,0.46939,0.31816,1.55883,1.83323,1.79001,0.000334958,0.000334958,0.000334958
118,3708.63,0.66981,0.56603,1.0444,0.62604,0.43999,0.45764,0.31821,1.48679,1.8654,1.69442,0.000325526,0.000325526,0.000325526
119,3739.28,0.6693,0.56706,1.03508,0.51998,0.4634,0.45837,0.32143,1.51456,1.97759,1.77465,0.000316095,0.000316095,0.000316095
120,3774.38,0.69328,0.55171,1.05426,0.66164,0.43863,0.45549,0.3176,1.52781,1.94151,1.78233,0.000306663,0.000306663,0.000306663
121,3806.46,0.65483,0.54166,1.02053,0.4804,0.48485,0.42928,0.29158,1.49655,1.96351,1.74169,0.000297232,0.000297232,0.000297232
122,3836.12,0.65869,0.53887,1.02794,0.64602,0.40169,0.44711,0.30029,1.50554,2.06777,1.73825,0.000287801,0.000287801,0.000287801
123,3866.75,0.65266,0.5332,1.02759,0.50542,0.49637,0.46861,0.31888,1.49914,1.95836,1.75519,0.000278369,0.000278369,0.000278369
124,3897.94,0.64873,0.54146,1.01933,0.6096,0.45742,0.46698,0.31334,1.52478,2.05818,1.78627,0.000268938,0.000268938,0.000268938
125,3929.66,0.62666,0.50002,1.01126,0.71057,0.40665,0.45495,0.31992,1.52354,2.08655,1.79145,0.000259506,0.000259506,0.000259506
126,3958.19,0.63568,0.51251,1.02539,0.58523,0.41084,0.44438,0.30462,1.54539,1.90355,1.78186,0.000250075,0.000250075,0.000250075
127,3989.87,0.63715,0.51368,1.01979,0.75718,0.40244,0.46343,0.32156,1.50448,1.94479,1.73796,0.000240644,0.000240644,0.000240644
128,4021.5,0.61627,0.50051,1.01736,0.59469,0.46827,0.46607,0.3228,1.45997,1.91692,1.70185,0.000231212,0.000231212,0.000231212
129,4053.1,0.63223,0.5078,1.03242,0.77561,0.41502,0.48532,0.32606,1.48015,1.85263,1.72794,0.000221781,0.000221781,0.000221781
130,4086.86,0.60736,0.50337,1.00828,0.65167,0.47707,0.50252,0.33487,1.43711,1.8085,1.68745,0.000212349,0.000212349,0.000212349
131,4116,0.6069,0.49391,1.00431,0.52523,0.50415,0.4928,0.33845,1.44458,1.89612,1.67715,0.000202918,0.000202918,0.000202918
132,4147.95,0.59571,0.48639,0.99878,0.67761,0.39012,0.4809,0.3278,1.47517,1.91122,1.70671,0.000193487,0.000193487,0.000193487
133,4179.59,0.58587,0.47716,0.99666,0.73238,0.41429,0.48133,0.32219,1.45075,1.90641,1.67653,0.000184055,0.000184055,0.000184055
134,4210.08,0.60896,0.49967,1.01206,0.7371,0.41018,0.48837,0.33407,1.47278,1.94529,1.7034,0.000174624,0.000174624,0.000174624
135,4240.17,0.57616,0.47559,0.9924,0.69462,0.39941,0.47709,0.32807,1.47128,1.96601,1.69982,0.000165192,0.000165192,0.000165192
136,4271.71,0.5868,0.4929,1.00672,0.62959,0.46586,0.48466,0.32795,1.47592,1.89423,1.72585,0.000155761,0.000155761,0.000155761
137,4303.49,0.59458,0.49003,0.99663,0.63685,0.45913,0.48555,0.3272,1.48028,1.88411,1.71943,0.00014633,0.00014633,0.00014633
138,4333,0.58232,0.4632,1.00261,0.6015,0.46127,0.48148,0.32521,1.47056,1.94247,1.70891,0.000136898,0.000136898,0.000136898
139,4364.12,0.57135,0.45847,0.97547,0.56774,0.47385,0.47383,0.32584,1.49294,1.99497,1.74257,0.000127467,0.000127467,0.000127467
140,4398.34,0.57431,0.46405,1.00291,0.71032,0.39536,0.46898,0.31663,1.49488,1.99758,1.7325,0.000118035,0.000118035,0.000118035
141,4432.67,0.50988,0.40421,0.93067,0.69184,0.39759,0.42842,0.28703,1.51448,2.06606,1.79014,0.000108604,0.000108604,0.000108604
142,4463.4,0.46129,0.35166,0.89312,0.51291,0.4361,0.41507,0.2795,1.53716,2.07179,1.82632,9.91726e-05,9.91726e-05,9.91726e-05
143,4492.21,0.46361,0.33542,0.88962,0.63614,0.38182,0.41467,0.28572,1.57782,2.12957,1.87569,8.97412e-05,8.97412e-05,8.97412e-05
144,4523.28,0.43799,0.31906,0.88088,0.65266,0.41114,0.437,0.2968,1.56227,2.12265,1.85806,8.03098e-05,8.03098e-05,8.03098e-05
145,4554.89,0.43517,0.3299,0.89083,0.6021,0.43766,0.44832,0.30141,1.55815,2.07653,1.85375,7.08784e-05,7.08784e-05,7.08784e-05
146,4583.64,0.43883,0.31813,0.89298,0.61516,0.44387,0.45562,0.30633,1.54661,2.05084,1.8337,6.1447e-05,6.1447e-05,6.1447e-05
147,4614.19,0.43849,0.31348,0.8865,0.58342,0.4695,0.45649,0.31287,1.52053,2.02263,1.82232,5.20156e-05,5.20156e-05,5.20156e-05
148,4645.97,0.42951,0.31427,0.87733,0.60128,0.45891,0.45961,0.31628,1.52462,2.0389,1.83616,4.25842e-05,4.25842e-05,4.25842e-05
149,4675.05,0.42801,0.3105,0.88831,0.61767,0.44868,0.46011,0.31518,1.53248,2.04291,1.83836,3.31528e-05,3.31528e-05,3.31528e-05
150,4708.44,0.4108,0.32112,0.87173,0.61935,0.44538,0.45817,0.31496,1.52606,2.05026,1.83079,2.37214e-05,2.37214e-05,2.37214e-05
